Strain,Phasmid_defect_count,N
VC30247,0,30
VC40006,1,30
VC40025,2,30
VC40035,0,30
VC40063,0,30
VC40067,10,60
VC40070,0,30
VC40085,1,30
VC40088,5,30
VC40103,9,60
VC40111,0,30
VC40112,0,30
VC40118,2,30
VC40138,3,60
VC40150,5,30
VC40154,0,30
VC40158,0,30
VC40173,0,30
VC40174,0,30
VC40178,0,30
VC40180,3,30
VC40186,3,30
VC40195,3,30
VC40197,0,15
VC40203,3,60
VC40210,5,30
VC40212,1,30
VC40216,2,60
VC40218,0,30
VC40223,2,30
VC40224,0,30
VC40231,2,30
VC40233,2,30
VC40238,3,30
VC40239,2,30
VC40247,4,22
VC40248,0,30
VC40250,0,30
VC40251,2,30
VC40258,0,30
VC40261,0,60
VC40286,0,30
VC40291,1,30
VC40295,3,60
VC40296,3,60
VC40298,3,28
VC40300,3,30
VC40321,1,60
VC40332,11,60
VC40341,7,30
VC40361,6,30
VC40364,1,26
VC40401,6,60
VC40415,0,30
VC40435,2,30
VC40443,3,30
VC40449,0,30
VC40473,0,30
VC40514,0,30
VC40516,1,30
VC40529,0,30
VC40533,0,30
VC40542,0,30
VC40544,5,60
VC40545,0,30
VC40561,0,30
VC40566,0,30
VC40568,2,30
VC40570,11,60
VC40575,0,30
VC40609,0,30
VC40621,0,30
VC40623,5,30
VC40625,0,30
VC40632,0,30
VC40635,4,30
VC40647,5,30
VC40657,0,30
VC40661,2,30
VC40663,1,30
VC40667,1,30
VC40675,0,30
VC40687,1,30
VC40694,0,30
VC40701,1,60
VC40702,2,30
VC40704,0,30
VC40718,0,30
VC40719,0,30
VC40721,0,30
VC40729,1,30
VC40740,14,60
VC40741,4,30
VC40745,1,30
VC40747,1,15
VC40748,0,30
VC40750,5,30
VC40759,4,30
VC40764,0,30
VC40766,1,30
VC40781,0,30
VC40788,0,30
VC40794,0,30
VC40797,1,30
VC40811,0,60
VC40816,4,30
VC40826,6,30
VC40832,5,60
VC40846,7,60
VC40862,0,30
VC40884,3,30
VC40895,1,30
VC40942,6,30
VC40955,1,30
VC40970,0,23
VC40973,0,30
VC40977,0,30
VC40985,12,53
VC41000,3,30
VC41002,5,30
VC41004,0,29
VC41007,3,60
VC41010,0,30
VC41013,1,30
VC41019,1,30
VC41031,0,30
VC41032,4,30
VC2010,5,60
