Strain,Amphid_defect_count,N
VC30074,0,30
VC30075,0,30
VC30076,10.2,60
VC30077,0,60
VC30078,10.8,60
VC30081,0,30
VC30085,0,30
VC30093,0,30
VC30107,0,30
VC30109,0,30
VC30110,0,16
VC30116,0,16
VC30122,0,30
VC30126,1.2,60
VC30158,0,30
VC30159,0,30
VC30169,0,30
VC30170,0,30
VC30175,0,30
VC30222,0,30
VC30247,0,30
VC40006,0,30
VC40025,0,30
VC40035,0,30
VC40063,0,30
VC40067,9,60
VC40070,0,30
VC40085,0,30
VC40088,0,30
VC40103,0,60
VC40111,0.9,30
VC40112,0,30
VC40118,0.9,30
VC40138,6,60
VC40150,0,30
VC40154,0.9,30
VC40158,0,30
VC40173,0,30
VC40174,0,30
VC40178,0,30
VC40180,0,30
VC40186,0.9,30
VC40195,0,30
VC40197,0,15
VC40203,1.2,60
VC40210,0,30
VC40212,0.9,30
VC40216,1.8,60
VC40218,0,30
VC40223,0.9,30
VC40224,0,30
VC40231,0,30
VC40233,0,30
VC40238,0,30
VC40239,0.9,30
VC40247,1.1,22
VC40248,0,30
VC40250,0,30
VC40251,0,30
VC40258,0,30
VC40261,1.2,60
VC40286,0,30
VC40291,2.1,30
VC40295,9,60
VC40296,6,60
VC40298,0,28
VC40300,0,30
VC40321,7.8,60
VC40332,9,60
VC40341,0,30
VC40361,0.9,30
VC40364,0,26
VC40401,1.2,60
VC40415,0,30
VC40435,0,30
VC40443,0,30
VC40449,0,30
VC40473,5.1,30
VC40514,0,30
VC40516,0,30
VC40529,0,30
VC40533,2.1,30
VC40542,0,30
VC40544,0,60
VC40545,0,30
VC40561,0,30
VC40566,0.9,30
VC40568,0,30
VC40570,0,60
VC40575,0,30
VC40609,0,30
VC40621,2.1,30
VC40623,0,30
VC40625,0,30
VC40632,0,30
VC40635,0,30
VC40647,0,30
VC40657,2.1,30
VC40661,0,30
VC40663,0,30
VC40667,0,30
VC40675,0,30
VC40687,0.9,30
VC40694,0,30
VC40701,9,60
VC40702,0,30
VC40704,0,30
VC40718,0,30
VC40719,0,30
VC40721,0,30
VC40729,0.9,30
VC40740,4.2,60
